iter	Logloss
0	0.6865221149
1	0.6790002646
2	0.6724826652
3	0.6665847255
4	0.6603079021
5	0.6546462777
6	0.6489418723
7	0.6430152073
8	0.6375938755
9	0.631181972
10	0.6261785454
11	0.6210591149
12	0.6162814652
13	0.6120479678
14	0.6076766774
15	0.6031073008
16	0.5981214717
17	0.593348136
18	0.5885929222
19	0.5845356066
20	0.5805872354
21	0.5779116339
22	0.5735342689
23	0.5699882741
24	0.5669551789
25	0.5623360001
26	0.5582974056
27	0.5541165448
28	0.55078957
29	0.547988714
30	0.544346383
31	0.5408367576
32	0.5377070544
33	0.5329542354
34	0.5299707263
35	0.5267667522
36	0.5238338318
37	0.5209651881
38	0.5178209383
39	0.5137764796
40	0.5110140545
41	0.5086681858
42	0.5070569542
43	0.5042927229
44	0.5009954225
45	0.4979649261
46	0.4954777072
47	0.4923736869
48	0.490819446
49	0.48894144
50	0.4872690312
51	0.4846546965
52	0.482199514
53	0.4805527629
54	0.478634553
55	0.4759297553
56	0.4734441811
57	0.4712427419
58	0.4690373869
59	0.466975303
60	0.4640552299
61	0.4612469065
62	0.4589744992
63	0.45609751
64	0.4539819724
65	0.4512877526
66	0.4491563956
67	0.4471996632
68	0.4457780356
69	0.4437534467
70	0.4422944982
71	0.4403941516
72	0.4396106084
73	0.4373637987
74	0.4360160164
75	0.4344658659
76	0.4332173178
77	0.4312820536
78	0.4291689043
79	0.4272419299
80	0.4250816411
81	0.423732502
82	0.42205355
83	0.4205203316
84	0.4179322064
85	0.4156417412
86	0.414513734
87	0.4129430009
88	0.4113928951
89	0.4100760929
90	0.4087836507
91	0.4073251589
92	0.4058590024
93	0.4045166622
94	0.4027356742
95	0.4014257839
96	0.3997170007
97	0.3975275714
98	0.3966123268
99	0.3958936262
