iter	Passed	Remaining
0	0	58
1	1	67
2	2	63
3	2	61
4	3	61
5	4	60
6	4	60
7	5	59
8	5	57
9	6	55
10	7	54
11	7	53
12	8	52
13	8	51
14	9	50
15	9	49
16	10	49
17	11	48
18	12	49
19	13	50
20	13	49
21	14	49
22	15	49
23	16	49
24	17	48
25	17	48
26	18	47
27	19	48
28	20	47
29	22	48
30	22	47
31	23	46
32	24	46
33	24	44
34	25	44
35	26	43
36	26	42
37	27	41
38	27	40
39	28	39
40	28	38
41	29	37
42	29	36
43	30	35
44	30	34
45	30	33
46	31	32
47	31	31
48	32	31
49	32	30
50	33	29
51	33	28
52	34	27
53	34	27
54	35	26
55	35	25
56	36	24
57	36	23
58	36	23
59	37	22
60	37	21
61	38	21
62	38	20
63	39	19
64	39	18
65	40	18
66	41	17
67	41	17
68	42	16
69	43	16
70	43	15
71	44	14
72	44	14
73	45	13
74	45	12
75	46	12
76	46	11
77	46	10
78	47	10
79	47	9
80	48	8
81	48	8
82	48	7
83	49	7
84	49	6
85	50	5
86	50	5
87	50	4
88	51	4
89	51	3
90	51	2
91	52	2
92	52	1
93	52	1
94	53	0
95	53	0
